"FLEET_ID","COMPANY_NO","DAY_ID","CNT_DRIVES","CNT_VEH_USED","SUM_INCOME_NETTO","SUM_KILOMETERS","SUM_MINUTES"
"BER",89,01/03/2018,10202,1327,82373.37,76658.04,391800
"BER",89,02/03/2018,11047,1328,87699.82,87492.12,420081
"BER",89,03/03/2018,12458,1343,98770.21,102515.07,477642
"BER",89,04/03/2018,10125,1322,73232.87,89097.06,354439
"BER",89,05/03/2018,8788,1307,67105.69,66911.04,323351
"BER",89,06/03/2018,8907,1304,71899.29,67192.07,319630
"BER",89,07/03/2018,8833,1287,65475.23,66589.07,313520
"BER",89,08/03/2018,8981,1284,69100.02,70713.06,330271
"BER",89,09/03/2018,9913,1299,74444.79,78135.06,356159
"BER",89,10/03/2018,10949,1300,83728.22,90676.12,402526
"BER",89,11/03/2018,9218,1308,74056.49,85254.05,360200
"BER",89,12/03/2018,8700,1305,67638.04,65583.06,323221
"BER",89,13/03/2018,8536,1311,61639.67,63786.06,297061
"BER",89,14/03/2018,8614,1300,63287.46,67157.03,307520
"BER",89,15/03/2018,8830,1300,69488.23,69966.11,328050
"BER",89,16/03/2018,10453,1312,81185.36,87791.07,388323
"BER",89,17/03/2018,11786,1294,92258.42,98195.11,433989
"BER",89,18/03/2018,9499,1276,67816.97,81174.11,329905
"BER",89,19/03/2018,8368,1291,64657.58,66444.1,312227
"BER",89,20/03/2018,9235,1321,72692.66,71061.04,331301
"BER",89,21/03/2018,8579,1314,66063.66,68422.04,313631
"BER",89,22/03/2018,9288,1300,79398.24,82340.02,348761
"BER",89,23/03/2018,10274,1309,83921.64,83605.11,387556
"BER",89,24/03/2018,11000,1301,85639.89,92369.11,402145
"BER",89,25/03/2018,9226,1292,67578.79,82219.08,325246
"BER",89,26/03/2018,8087,1308,60807.75,65910.08,292987
"BER",89,27/03/2018,8451,1318,66737.44,68544.02,308166
"BER",89,28/03/2018,9641,1317,76291.35,75020.08,358915
"BER",89,29/03/2018,10019,1325,84456.36,82140.08,398281
"BER",89,30/03/2018,8443,1261,66254.19,82301.1,327476
"BER",89,31/03/2018,9126,1223,81158.61,86134.06,460128
"BER",89,01/04/2018,8660,1203,70475.3,88804.05,444468
"BER",89,02/04/2018,7625,1251,72516.49,100926.05,630289
"BER",89,03/04/2018,7965,1299,70726.49,78202.06,469940
"BER",89,04/04/2018,8311,1291,69081.8,71477.06,349811
"BER",89,05/04/2018,8482,1287,72100.13,70173.1,338803
"BER",89,06/04/2018,9602,1325,75525.91,78607.09,358844
"BER",89,07/04/2018,11028,1318,96128.99,101991.08,460991
"BER",89,08/04/2018,9064,1293,78108.53,90304.12,371621
"BER",89,09/04/2018,7394,1294,69873.23,62724.03,323672
"BER",89,10/04/2018,7655,1300,66906.95,62625.05,306282
"BER",89,11/04/2018,7947,1298,73978.53,67080.05,328644
"BER",89,12/04/2018,7558,1273,69853.17,65819.07,307331
"BER",89,13/04/2018,10178,1317,88265.47,82516.11,398588
"BER",89,14/04/2018,11297,1320,99719.01,98444.14,467806
"BER",89,15/04/2018,9160,1307,79902.17,93050.07,385331
"BER",89,16/04/2018,8538,1300,71815.91,67996.06,342199
"BER",89,17/04/2018,7440,1272,62867.38,62189.14,298745
"BER",89,18/04/2018,7720,1298,68976.26,67004.08,321699
"BER",89,19/04/2018,7990,1310,75975.5,68937.04,332071
"BER",89,20/04/2018,9258,1341,88618.18,85955.04,402900
"BER",89,21/04/2018,10740,1327,102504.55,107442.18,492308
"BER",89,22/04/2018,9096,1325,81667.01,97137.12,402961
"BER",89,23/04/2018,7535,1321,66415.14,63184.1,301646
"BER",89,24/04/2018,7952,1302,68124.37,66143.05,313140
"BER",89,25/04/2018,9055,1316,76811.09,74464.1,359950
"BER",89,26/04/2018,9249,1303,80025.3,75288.08,375918
"BER",89,27/04/2018,9308,1303,91696.66,82069.12,393411
"BER",89,28/04/2018,10916,1319,100925.71,102202.08,480173
"BER",89,29/04/2018,9531,1322,85275.47,96979.1,405162
"BER",89,30/04/2018,9787,1319,89631.74,84443.08,423944
"BER",89,01/05/2018,8358,1297,72812.71,79501.08,331022
"BER",89,02/05/2018,8087,1286,69957.91,66819.07,325202
"BER",89,03/05/2018,7805,1292,68776.67,65373.08,317404
"BER",89,04/05/2018,9005,1297,79024.53,76189.1,360083
"BER",89,05/05/2018,10114,1294,94382.75,94185.14,447713
"BER",89,06/05/2018,8520,1293,76153.82,92417.11,368565
"BER",89,07/05/2018,7390,1305,66765.36,64067.04,302688
"BER",89,08/05/2018,7227,1282,65796.75,64272.05,303629
"BER",89,09/05/2018,8486,1305,75692.48,71501.05,351195
"BER",89,10/05/2018,8524,1273,72164.2,84215.06,343875
"BER",89,11/05/2018,8513,1304,73143.78,76839.11,338116
"BER",89,12/05/2018,8997,1300,80605.42,84535.13,385553
"BER",89,13/05/2018,8013,1272,74413.86,88606.05,368423
"BER",89,14/05/2018,6892,1288,63588.97,61203.04,298537
"BER",89,15/05/2018,8266,1295,76217.35,66657.07,336644
"BER",89,16/05/2018,7647,1289,69620.72,66078.03,303183
"BER",89,17/05/2018,7625,1271,70147.2,65643.02,314346
"BER",89,18/05/2018,8675,1271,78186.12,76197.08,360577
"BER",89,19/05/2018,9147,1245,85423.57,92027.08,406285
"BER",89,20/05/2018,8030,1242,72898.15,92239.02,418064
"BER",89,21/05/2018,7407,1263,73126.58,97400.06,511695
"BER",89,22/05/2018,7412,1288,68847.96,73157.04,386002
"BER",89,23/05/2018,7303,1289,66759.54,65192.07,320778
"BER",89,24/05/2018,7317,1297,64278.24,62951.01,300964
"BER",89,25/05/2018,8683,1328,78540.3,76936.09,358977
"BER",89,26/05/2018,9571,1305,93058.7,96134.1,435168
"BER",89,27/05/2018,8135,1293,75135.21,88726.05,368853
"BER",89,28/05/2018,7398,1306,66400.64,65793.06,310055
"BER",89,29/05/2018,7561,1292,72349.67,66822.05,331701
"BER",89,30/05/2018,7929,1309,76891.83,70957.14,360237
"BER",89,31/05/2018,8450,1328,84137.38,77500.04,389188
"BER",89,01/06/2018,9942,1335,95143.31,88170.08,434565
"BER",89,02/06/2018,10805,1326,97111.1,101621.04,471149
"BER",89,03/06/2018,8639,1299,75071.01,84135.08,360420
"BER",89,04/06/2018,7623,1317,67201.37,66339.05,313590
"BER",89,05/06/2018,7551,1292,64295.61,64645.04,298157
"BER",89,06/06/2018,7727,1289,68615.2,65469.12,315681
"BER",89,07/06/2018,8146,1311,74077.47,71233.04,346436
"BER",89,08/06/2018,9286,1322,88544.87,83887.04,398495
"BER",89,09/06/2018,10462,1340,106904.24,117530.12,534228
"BER",89,10/06/2018,9465,1330,86926.52,101617.08,426152
"BER",89,11/06/2018,7539,1331,65214.43,63737.16,305947
"BER",89,12/06/2018,7725,1303,68042.65,65037.05,313190
"BER",89,13/06/2018,8091,1313,69391.18,69387.05,326540
"BER",89,14/06/2018,7719,1282,72684.44,66761.06,329896
"BER",89,15/06/2018,8842,1317,80764.35,80012.06,377149
"BER",89,16/06/2018,9295,1294,88567.88,95532.08,431781
"BER",89,17/06/2018,9103,1313,78459.99,92566.06,388667
"BER",89,18/06/2018,7486,1303,66237.8,65906.07,310405
"BER",89,19/06/2018,7407,1286,63686.94,64157.06,295744
"BER",89,20/06/2018,7429,1294,70681.56,65902.01,317937
"BER",89,21/06/2018,8871,1325,79476.37,75725.12,365692
"BER",89,22/06/2018,9522,1342,82582.13,82571.08,383249
"BER",89,23/06/2018,10923,1338,91870.74,97156.02,431439
"BER",89,24/06/2018,9217,1295,72287.53,84919.14,350332
"BER",89,25/06/2018,7683,1306,66315.29,65854.05,306194
"BER",89,26/06/2018,7792,1322,67591.52,66568.06,307086
"BER",89,27/06/2018,8075,1317,70420.9,68960.08,327990
"BER",89,28/06/2018,8367,1332,76612.9,73674.02,359150
"BER",89,29/06/2018,9163,1354,88680.49,84088.08,415535
"BER",89,30/06/2018,9988,1351,91873.13,96622.13,448275
"BER",89,01/07/2018,8734,1338,79795.28,92061.09,406516
"BER",89,02/07/2018,7762,1324,71449.17,69475.01,340318
"BER",89,03/07/2018,7974,1301,72233.27,69104.07,342504
"BER",89,04/07/2018,8616,1303,78530.45,77112.04,372532
"BER",89,05/07/2018,8430,1313,81861.07,77579.03,385185
"BER",89,06/07/2018,8962,1327,79094.13,80444.1,368996
"BER",89,07/07/2018,9323,1315,89798.65,98018.09,446712
"BER",89,08/07/2018,7865,1318,70987.87,87143.08,375890
"BER",89,09/07/2018,7033,1316,65206.28,68791.09,318119
"BER",89,10/07/2018,7502,1291,63312.34,62607.04,296711
"BER",89,11/07/2018,7899,1294,70013.69,66340.02,324252
"BER",89,12/07/2018,9360,1307,80931.54,77736.06,384978
"BER",89,13/07/2018,8411,1300,76745.54,75413.07,354694
"BER",89,14/07/2018,9122,1300,86829.76,94794.07,426754
"BER",89,15/07/2018,7943,1291,74936.29,90241.04,391745
"BER",89,16/07/2018,6734,1294,61696.65,60506.1,282025
"BER",89,17/07/2018,6942,1287,64679.84,60423.04,287721
"BER",89,18/07/2018,6617,1288,60362.49,59732.09,280380
"BER",89,19/07/2018,7347,1296,62759.35,64521.08,290295
"BER",89,20/07/2018,8338,1322,76647.9,77368.09,360594
